"merge","cluster.index","componentindex","X136.D1a","X136.D1b","X144.A7a","X144.A7b","X149.D3a","X149.D3b","X157.A8a","X157.A8b","X168.G7a","X168.G7b","X180.G9a","X180.G9b","X194.C11a","X194.C11b","X203.E8a","X203.E8b","X209.C7a","X209.C7b","X242.B4a","X242.B4b","X247.B10a","X247.B10b","X247.F7a","X247.F7b","X250.D12a","X250.D12b","X280.D11a","X280.D11b","X283.G4a","X283.G4b","X293.D6a","X293.D6b","X316.B9a","X316.B9b","X328.H4a","X328.H4b","X329.F11a","X329.F11b","X330.C6a","X330.C6b","X331.D7a","X331.D7b","X342.F3a","X342.F3b","X343.C8a","X343.C8b","X344.D2a","X344.D2b","X378.F11a","X378.F11b","X380.F3a","X380.F3b","X381.A4a","X381.A4b","X383.D9a","X383.D9b","X385.F9a","X385.F9b","X399.D8a","X399.D8b","X426.B10a","X426.B10b","X497.G10a","X497.G10b","X517.H3a","X517.H3b","X518.A5a","X518.A5b","X518.E8a","X518.E8b","X519.A7a","X519.A7b","X606.B6a","X606.B6b","X614.B8a","X614.B8b","X614.D5a","X614.D5b","GL101.F4a","GL101.F4b","GL102.D8a","GL102.D8b","GL104.A6a","GL104.A6b","GL105.D10a","GL105.D10b","GL21.A11a","GL21.A11b","GL21.B3a","GL21.B3b","GL21.C8a","GL21.C8b","GL21.G6a","GL21.G6b","GL22.C3a","GL22.C3b","GL22.D4a","GL22.D4b","GL23.F7a","GL23.F7b","GL23.G10a","GL23.G10b","GL26.H7a","GL26.H7b","GL27.A11a","GL27.A11b","GL36.B8a","GL36.B8b","GL36.B9a","GL36.B9b","GL36.D1a","GL36.D1b","GL36.F12a","GL36.F12b","GL36.G2a","GL36.G2b","GL36.G9a","GL36.G9b","GL37.C10a","GL37.C10b","GL37.E4a","GL37.E4b","GL37.G1a","GL37.G1b","GL38.A5a","GL38.A5b","GL38.D6a","GL38.D6b","GL38.H7a","GL38.H7b","GL39.A12a","GL39.A12b","GL39.B6a","GL39.B6b","GL39.F1a","GL39.F1b","GL40.A5a","GL40.A5b","GL40.D9a","GL40.D9b","GL41.B2a","GL41.B2b","GL44.F11a","GL44.F11b","GL76.C9a","GL76.C9b","GL76.E1a","GL76.E1b","GL79.D7a","GL79.D7b","GL82.G1a","GL82.G1b","GL82.H5a","GL82.H5b","GL84.D3a","GL84.D3b","GL85.D2a","GL85.D2b"
"X298.2_4.2",23276,-1,0,0,0,0,0,0,0,0,0.002615704,0.001146686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000466061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X298.9_1.5",6421,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000915943,0,0,0,0,0,0.007037084,0,0,0,0,0,0,0,0,0,0,0,0,0.000575628,0.000381067,0,0,0,0.00091101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002316154,0,0,0,0,0,0.000514261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000275744,0,0,0,0,0,0,0,0,0,0,0.001596085,0,0,0,0,0,0,0,0,0,0,0,0,0.001188043,0,0.000464149,0,0.001287039,0.000541094,0,0.000228729,0,0,0.000678715,0,0,0.000651919,0,0,0,0,0,0,0.001219662,0,0,0,0,0,0,0,0,0,0
"X298.9_1.7",11268,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002546319,0,0,0,0,0,0,0,0,0,0,0,0,0.000719823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000951777,0.013432868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000838986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000975596,0,0,0,0.001968911,0,0,0,0.001288145,0,0,0,0.00136425,0,0,0,0,0,0,0,0,0,0,0.000461924,0,0,0,0,0,0,0,0,0,0.000511154
"X299_0.9",9655,46,0,0,0,0,0,0,0.000432586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147103,0,0,0,0,0,0,0,0,0.000290951,0.000346232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001699985,0.000514529,0,0,0,0.000876923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000358639,0,0,0,0,0,0,0.002567765,0,0,0.000623485
"X299_2.2",776,-1,0,0,0,0,0,0,0.000347788,0,0,0,0.003118587,0.002733366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043685,0,0,0,0,0,0,0,0.001424825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000790451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002333436,0.000974184,0,0,0,0.006722259,0.008474149,0,0,0,0,0,0,0,0,0,0,0,0.000596531,0.000618669,0,0,0,0.000445267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000431363,0,0,0.002240286,0.002352781,0,0,0.000562641,0,0,0,0,0,0,0,0,0,0,0,0.001792928,0.001058651,0,0.001687338,0,0,0,0,0,0,0,0
"X299_2.6",7650,-1,0.000453656,0,0,0,0.000877007,0,0.000834028,0.000638425,0,0,0.001332194,0,0,0,0,0,0,0,0.000932537,0,0,0,0,0,0,0,0,0,0.00352999,0,0,0,0.005299433,0.00090347,0,0.004825853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090907,0,0,0.002027174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000946512,0,0.001024961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738125,0,0,0,0,0,0,0,0.000601211,0,0,0,0,0,0,0,0.00032969,0.000755828,0,0,0,0,0.003123716,0.004150866,0.011599772,0.004212487,0,0,0,0,0.000640902,0,0,0.00134875,0.001540767,0.000778251,0.001524896,0,0.000561047,0,0,0.001027063,0,0.000168376,0,0,0,0,0,0,0,0,0.000706911,0.000382345,0,0,0,0,0,0,0.000405052
"X299_3.2",3484,2192,0.000499928,0.001109706,0.000685373,0,0,0,0.000802834,0.000568374,0.001488958,0,0.002836541,0.001691722,0,0,0,0.001630669,0,0,0.002169945,0,0,0,0,0,0,0,0,0,0.002128195,0,0,0,0,0,0,0,0.001519536,0.001096098,0,0,0,0,0,0,0.000595912,0,0,0,0,0,0,0,0,0,0.000894043,0.001295178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005453319,0.003529709,0,0,0,0.000812216,0,0,0,0,0.000778085,0,0,0.002284349,0.002230827,0,0.000484051,0,0,0,0.000945603,0,0.000696113,0,0,0,0.000526237,0.000888071,0,0,0,0.000489562,0.000336301,0,0.000424795,0,0.000595459,0,0,0,0,0.00022798,0,0,0,0,0,0,0,0,0,0.003917777,0.001505587,0,0,0,0.001711915,0,0,0.001437868,0,0,0,0.000411979,0,0,0,0,0,0.000232789,0,0,0,0,0,0,0.001264512,0.00191839,0.002280927,0.001625191,0,0,0.001558179,0,0,0,0
"X299_3.5",3696,-1,0,0,0,0,0,0,0,0,0,0,0,0.000691498,0,0,0.002455227,0.003242852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000974229,0,0,0,0,0,0,0,0.000211713,0,0,0,0,0,0,0,0,0.00101427,0.000552797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095654,0,0,0,0,0,0,0,0.001141754,0,0,0,0.001042772,0,0,0,0,0,0,0,0,0,0,0,0,0.000395381,0.00147969,0,0,0,0,0,0,0.000379154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004706579,0.001876171,0,0,0,0,0.0006483,0,0.000556332,0,0.000313202,0,0,0,0,0,0,0,0.000250514,0,0,0,0,0,0,0.000454616,0,0,0.001528605,0,0,0,0,0,0,0
"X299_5.1",9737,-1,0,0,0.000817895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424518,0,0,0,0.00033757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008074014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000552701,0,0,0,0,0,0.0009346,0,0,0,0,0,0,0,0.000414941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000536629,0,0,0,0,0,0,0,0,0,0
"X299_6.5",3569,-1,0,0,0,0,0,0,0.000554889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002185161,0,0,0,0,0,0,0,0,0.000639327,0,0,0,0,0,0,0,0,0,0,0,0.001296134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000548328,0.000874775,0.000436273,0,0,0,0.00059397,0,0,0,0,0,0,0.001165786,0,0,0,0,0.000673613,0,0,0.000301078,0,0,0,0,0,0,0,0.00139944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058207,0,0,0,0.001745874,0,0,0,0,0,0,0,0,0,0,0,0.000501664,0,0,0,0,0.002889692,0,0,0,0,0.001111522
