cluster.index,componentindex,merge
19097,-1,X1090.7_5.9
3674,-1,X1091.5_7.7
16274,-1,X1091.5_7.9
11406,-1,X1092.2_5.3
13284,427,X1092.4_6.6
6467,-1,X1093.3_5.9
13728,427,X1094.3_5.9
30232,-1,X1094.6_8.5
18420,-1,X1094.8_3.7
6599,-1,X1095.3_8.4
18074,-1,X1095.5_3.7
20216,-1,X1098.2_5.4
19651,-1,X1098.5_7.9
10999,-1,X1099_8
7900,-1,X1100_5.7
22511,-1,X1101.4_5.6
18721,-1,X1102_5.5
18673,468,X1102.7_7.2
6897,-1,X1107.9_5.8
4786,-1,X1108.3_4.8
5925,-1,X1108.3_6.1
10992,-1,X1108.8_4.7
17658,-1,X1109_5.2
16751,-1,X1109.3_6.4
18717,427,X1110.3_6.1
28267,1300,X1111.9_8.6
19289,427,X1112.1_5.2
24531,-1,X1112.1_6
18037,-1,X1112.8_3.7
21448,-1,X1112.8_5.9
13687,-1,X1113_6.4
6737,-1,X1113.2_5.7
13834,-1,X1113.4_6
3476,121,X1113.7_7.6
5348,-1,X1113.8_5.8
6535,-1,X1114_6.3
5481,-1,X1114.1_5.9
5482,-1,X1114.7_7.6
17534,-1,X1115.6_5.7
1442,-1,X1116.4_5.8
10862,-1,X1116.9_4.7
15739,236,X1117_8.6
5063,567,X1117.1_8.1
5310,236,X1117.7_8.7
4986,-1,X1118.3_4.1
22512,-1,X1118.8_4.1
5172,-1,X1119.8_3.6
22120,-1,X1119.9_5.5
19803,-1,X1120.4_7.3
19183,-1,X1120.5_5.4
11159,427,X1123.1_6.7
14279,-1,X1123.8_4.3
14579,-1,X1123.9_4.1
17388,-1,X1124.6_4.2
12781,427,X1124.9_5.6
7390,-1,X1125.1_5.2
1453,-1,X1125.6_5.3
6785,-1,X1126.1_5.2
6714,493,X1126.4_6.8
21442,-1,X1133.2_5.4
7417,-1,X1133.7_5.4
21932,-1,X1135_5.4
5896,-1,X1135.8_4.7
5062,-1,X1136.2_8
7671,-1,X1138.5_8.1
19622,-1,X1138.7_5.4
22068,-1,X1139.2_5.4
20468,-1,X1139.2_8.5
18540,-1,X1139.5_4.5
29700,-1,X1139.6_4.2
16459,-1,X1139.9_4
19226,-1,X1141.8_4.3
13674,-1,X1141.9_5.3
17494,-1,X1142.3_4.8
16065,-1,X1142.3_8.6
6660,493,X1142.4_6.3
12912,-1,X1142.9_4.9
15354,-1,X1143_8.6
19045,-1,X1143.9_4.8
9892,-1,X1146.4_6.3
22469,-1,X1149.6_5
20733,-1,X1149.7_4.3
6620,-1,X1152.6_5.7
802,-1,X1152.8_3.5
17083,-1,X1152.9_8.2
29697,-1,X1155.8_4.7
29663,-1,X1157.9_4.7
12997,1246,X1158.3_5.4
13088,-1,X1158.3_8.8
12343,315,X1158.6_4.7
7073,-1,X1159.4_4.9
6576,-1,X1159.6_8.3
5598,-1,X1160.6_8.2
23629,-1,X1163.3_8.4
12825,-1,X1163.4_8.1
16293,236,X1163.7_8.8
8484,-1,X1169.1_6.6
24120,-1,X1169.3_8.7
4159,-1,X1169.9_8.7
21234,-1,X1170.5_8.4
28406,-1,X1170.6_8.7
2878,-1,X1170.8_3.5
3157,273,X1171_8.4
7899,-1,X1172_3.6
7467,-1,X1172.8_5.4
13290,-1,X1175.6_9.3
13206,-1,X1175.9_9.5
3700,-1,X1176.4_8.5
14157,-1,X1176.5_6.3
4337,-1,X1176.8_8.5
5389,273,X1176.8_9.5
6718,-1,X1177.2_7
17765,-1,X1177.6_8.6
7414,-1,X1177.8_5.3
20881,146,X1177.8_8.4
13322,273,X1178.4_8.3
13132,-1,X1178.5_8.6
16267,273,X1178.7_8.1
15838,-1,X1178.9_8.8
7309,-1,X1179.4_7.7
23771,-1,X1179.9_8.7
7006,-1,X1180.3_6.7
14604,-1,X1180.6_5
24123,-1,X1180.7_8.7
13822,-1,X1181.1_5.1
15162,-1,X1181.4_8.6
23623,315,X1181.6_5.3
21155,-1,X1181.7_4.2
21229,-1,X1183.5_8.8
14164,273,X1184_7.6
8226,-1,X1184.1_8.2
7038,-1,X1184.4_4.8
17439,-1,X1185_4.8
7028,273,X1186.3_8.5
14171,273,X1190.8_6.9
13888,-1,X1190.9_4.3
19070,-1,X1191_8.6
1189,273,X1192_8.4
14264,273,X1192.1_8.7
6615,273,X1192.7_8.4
10244,273,X1193.8_8.2
7150,-1,X1194.3_5.6
21955,-1,X1196.2_4.7
14719,273,X1196.4_9.6
12961,-1,X1197.3_8.1
14194,-1,X1197.7_8.6
23371,-1,X1197.8_5
6819,-1,X1199_8.2
17761,273,X1199_9.5
10336,273,X1199.3_8.5
24279,-1,X1199.6_8.7
24340,-1,X1201.8_4.9
12165,-1,X1202.3_4.8
30230,-1,X1202.8_4.9
25407,-1,X1205.3_6.2
700,-1,X1205.9_3.5
20321,-1,X1206.3_6.2
6958,273,X1206.3_8.5
21951,273,X1206.5_8.7
30849,-1,X1206.6_3.6
7891,-1,X1207_3.5
782,-1,X1210.9_3.5
14193,273,X1211.6_8.1
19983,-1,X1211.8_6.9
14144,-1,X1211.9_8.4
4707,-1,X1213_4.3
9513,-1,X1216.8_7.4
18083,410,X1219.1_5.9
19481,493,X1219.1_7.5
19819,-1,X1221_8.3
