ID,rep,merge.5,merge,species,cryo,GL_CSSC,zip.code.GPS,state,SPECIES_SOURCE
FYRE1_H-7_B-C9_283-G4.mzXML Peak area,a,283-G4a,X283.G4a,expansum,283-G4,CSSC,54448,WI,expansum-CSSC
FYRE1_H-8_B-C10_329-F11.mzXML Peak area,a,329-F11a,X329.F11a,expansum,329-F11,CSSC,44883,OH,expansum-CSSC
FYRE2_B-10_B-G2_328-H4.mzXML Peak area,b,328-H4b,X328.H4b,expansum,328-H4,CSSC,53402,WI,expansum-CSSC
FYRE2_B-11_B-G3_293-D6.mzXML Peak area,b,293-D6b,X293.D6b,expansum,293-D6,CSSC,60050,IL,expansum-CSSC
FYRE2_B-3_B-F6_242-B4.mzXML Peak area,b,242-B4b,X242.B4b,expansum,242-B4,CSSC,43617,OH,expansum-CSSC
FYRE2_B-4_B-F7_614-D5.mzXML Peak area,b,614-D5b,X614.D5b,expansum,614-D5,CSSC,60608,IL,expansum-CSSC
FYRE2_B-5_B-F8_203-E8.mzXML Peak area,b,203-E8b,X203.E8b,expansum,203-E8,CSSC,61021,IL,expansum-CSSC
FYRE2_B-6_B-F9_180-G9.mzXML Peak area,b,180-G9b,X180.G9b,expansum,180-G9,CSSC,53226,WI,expansum-CSSC
FYRE2_B-7_B-F10_342-F3.mzXML Peak area,b,342-F3b,X342.F3b,expansum,342-F3,CSSC,49013,MI,expansum-CSSC
FYRE2_B-9_B-G1_383-D9.mzXML Peak area,b,383-D9b,X383.D9b,expansum,383-D9,CSSC,48509,MI,expansum-CSSC
FYRE2_C-1_B-G5_606-B6.mzXML Peak area,b,606-B6b,X606.B6b,expansum,606-B6,CSSC,48118,MI,expansum-CSSC
FYRE2_C-3_B-G7_247-B10.mzXML Peak area,b,247-B10b,X247.B10b,expansum,247-B10,CSSC,44026,OH,expansum-CSSC
FYRE2_C-4_B-G8_331-D7.mzXML Peak area,b,331-D7b,X331.D7b,expansum,331-D7,CSSC,48329,MI,expansum-CSSC
FYRE2_C-5_B-G9_283-G4.mzXML Peak area,b,283-G4b,X283.G4b,expansum,283-G4,CSSC,54448,WI,expansum-CSSC
FYRE2_C-6_B-G10_329-F11.mzXML Peak area,b,329-F11b,X329.F11b,expansum,329-F11,CSSC,44883,OH,expansum-CSSC
FYRE2_D-12_N-C1_497-G10.mzXML Peak area,a,497-G10a,X497.G10a,oxalicum,497-G10,CSSC,60515,IL,oxalicum-CSSC
FYRE2_E-1_N-C2_316-B9.mzXML Peak area,a,316-B9a,X316.B9a,oxalicum,316-B9,CSSC,61032,IL,oxalicum-CSSC
FYRE2_E-10_N-C11_517-H3.mzXML Peak area,a,517-H3a,X517.H3a,oxalicum,517-H3,CSSC,60490,IL,oxalicum-CSSC
FYRE2_E-11_N-C12_518-A5.mzXML Peak area,a,518-A5a,X518.A5a,oxalicum,518-A5,CSSC,60490,IL,oxalicum-CSSC
FYRE2_E-12_N-D1_399-D8.mzXML Peak area,a,399-D8a,X399.D8a,oxalicum,399-D8,CSSC,49006,MI,oxalicum-CSSC
FYRE2_E-2_N-C3_381-A4.mzXML Peak area,a,381-A4a,X381.A4a,oxalicum,381-A4,CSSC,43011,OH,oxalicum-CSSC
FYRE2_E-3_N-C4_136-D1.mzXML Peak area,a,136-D1a,X136.D1a,oxalicum,136-D1,CSSC,48080,MI,oxalicum-CSSC
FYRE2_E-4_N-C5_157-A8.mzXML Peak area,a,157-A8a,X157.A8a,oxalicum,157-A8,CSSC,49006,MI,oxalicum-CSSC
FYRE2_E-5_N-C6_378-F11.mzXML Peak area,a,378-F11a,X378.F11a,oxalicum,378-F11,CSSC,48509,MI,oxalicum-CSSC
FYRE2_E-6_N-C7_614-B8.mzXML Peak area,a,614-B8a,X614.B8a,oxalicum,614-B8,CSSC,60620,IL,oxalicum-CSSC
FYRE2_E-7_N-C8_343-C8.mzXML Peak area,a,343-C8a,X343.C8a,oxalicum,343-C8,CSSC,60089,IL,oxalicum-CSSC
FYRE2_E-8_N-C9_518-E8.mzXML Peak area,a,518-E8a,X518.E8a,oxalicum,518-E8,CSSC,60446,IL,oxalicum-CSSC
FYRE2_E-9_N-C10_385-F9.mzXML Peak area,a,385-F9a,X385.F9a,oxalicum,385-F9,CSSC,48509,MI,oxalicum-CSSC
FYRE2_F-1_N-D2_144-A7.mzXML Peak area,a,144-A7a,X144.A7a,oxalicum,144-A7,CSSC,44512,OH,oxalicum-CSSC
FYRE2_G-10_N-G5_157-A8.mzXML Peak area,b,157-A8b,X157.A8b,oxalicum,157-A8,CSSC,49006,MI,oxalicum-CSSC
FYRE2_G-11_N-G6_378-F11.mzXML Peak area,b,378-F11b,X378.F11b,oxalicum,378-F11,CSSC,48509,MI,oxalicum-CSSC
FYRE2_G-12_N-G7_614-B8.mzXML Peak area,b,614-B8b,X614.B8b,oxalicum,614-B8,CSSC,60620,IL,oxalicum-CSSC
FYRE2_G-6_N-G1_497-G10.mzXML Peak area,b,497-G10b,X497.G10b,oxalicum,497-G10,CSSC,60515,IL,oxalicum-CSSC
FYRE2_G-7_N-G2_316-B9.mzXML Peak area,b,316-B9b,X316.B9b,oxalicum,316-B9,CSSC,61032,IL,oxalicum-CSSC
FYRE2_G-8_N-G3_381-A4.mzXML Peak area,b,381-A4b,X381.A4b,oxalicum,381-A4,CSSC,43011,OH,oxalicum-CSSC
FYRE2_G-9_N-G4_136-D1.mzXML Peak area,b,136-D1b,X136.D1b,oxalicum,136-D1,CSSC,48080,MI,oxalicum-CSSC
FYRE2_H-1_N-G8_343-C8.mzXML Peak area,b,343-C8b,X343.C8b,oxalicum,343-C8,CSSC,60089,IL,oxalicum-CSSC
FYRE2_H-2_N-G9_518-E8.mzXML Peak area,b,518-E8b,X518.E8b,oxalicum,518-E8,CSSC,60446,IL,oxalicum-CSSC
FYRE2_H-3_N-G10_385-F9.mzXML Peak area,b,385-F9b,X385.F9b,oxalicum,385-F9,CSSC,48509,MI,oxalicum-CSSC
FYRE2_H-4_N-G11_517-H3.mzXML Peak area,b,517-H3b,X517.H3b,oxalicum,517-H3,CSSC,60490,IL,oxalicum-CSSC
FYRE2_H-5_N-G12_518-A5.mzXML Peak area,b,518-A5b,X518.A5b,oxalicum,518-A5,CSSC,60490,IL,oxalicum-CSSC
FYRE2_H-6_N-H1_399-D8.mzXML Peak area,b,399-D8b,X399.D8b,oxalicum,399-D8,CSSC,49006,MI,oxalicum-CSSC
FYRE2_H-7_N-H2_144-A7.mzXML Peak area,b,144-A7b,X144.A7b,oxalicum,144-A7,CSSC,44512,OH,oxalicum-CSSC
FYRE1_B-10_H-B10_GL38-A5.mzXML Peak area,a,GL38-A5a,GL38.A5a,brevicompactum,GL38-A5,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_B-11_H-B11_GL36-D1.mzXML Peak area,a,GL36-D1a,GL36.D1a,brevicompactum,GL36-D1,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_B-12_H-B12_GL40-A5.mzXML Peak area,a,GL40-A5a,GL40.A5a,brevicompactum,GL40-A5,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_B-4_H-B4_GL44-F11.mzXML Peak area,a,GL44-F11a,GL44.F11a,brevicompactum,GL44-F11,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_B-5_H-B5_GL38-H7.mzXML Peak area,a,GL38-H7a,GL38.H7a,brevicompactum,GL38-H7,GL,lake michigan,lakes,brevicompactum-GL
FYRE1_B-6_H-B6_GL37-C10.mzXML Peak area,a,GL37-C10a,GL37.C10a,brevicompactum,GL37-C10,GL,lake michigan,lakes,brevicompactum-GL
